Trader,Amount Following,Investors,Live Investor Profit,ROI
chunyffs333,"$2,335,606","3,240","$49,646",1.11%
Signal Guide,"$1,357,039","1,453","$28,742",0%
Miner EUR USD,"$462,524","1,033","$21,706",9.8%
UniversalFX Signal,"$617,038","1,156","$15,017",1.85%
True Range,"$381,080","1,286","$11,941",3.19%
Status Silver EA,"$144,251",647,"$8,438",10.08%
LongRun Trade,"$214,356",721,"$5,813",5.2%
Trader Robot,"$126,764",17,"$5,441",0.46%
ForexDom0101,"$100,132",18,"$5,427",-8.04%
NgHien92,"$29,147",92,"$5,076",7.04%
Riches FX,"$53,399",258,"$4,552",14.96%
Poissant,"$196,316",151,"$3,211",0.75%
StepByStepToProfit,"$13,206",23,"$3,023",0.92%
Bull Trade 100,"$11,067",40,"$2,126",2.46%
THEGOGIVER,"$14,935",8,"$1,944",39.38%
ZuluLuckySeller,"$11,885",38,"$1,937",2.25%
ReVeR273,"$59,779",497,"$1,792",3.69%
LotTrading,"$5,260",41,"$1,751",19.51%
V34x8 Way,"$12,381",26,"$1,697",10.59%
fringuele,"$96,980",232,"$1,495",1.11%
MultiProfitControl5,"$28,324",207,"$1,490",0.28%
yongbinli110,"$51,816",41,"$1,331",5.09%
0toHeroFxSignal,"$13,823",37,"$1,331",0.09%
The Islands,"$35,497",367,"$1,321",3.45%
Swartout,"$158,733",142,"$1,276",3.41%
winCanada,"$24,118",88,"$1,246",1.77%
Miner EUR USD Xtreme,"$10,717",21,"$1,201",8.81%
Kaloya Trader,"$55,081",9,"$1,181",2.16%
magickaito,"$135,924",205,"$1,179",8.09%
CTrend FX,"$6,323",34,"$1,050",8.23%
RemedyTrade,"$18,875",40,"$1,029",77.99%
legtra88,"$33,019",102,$823,0.47%
solkingue,"$44,893",86,$820,12.29%
DJXCapital,"$275,752",498,$781,-17.18%
jiaqin1119,"$11,952",144,$760,0.55%
RBT Special,"$7,889",16,$675,9%
imTrader161,"$23,085",55,$669,11.82%
yumman84,"$8,078",13,$657,0.38%
fxaudrius,"$27,065",153,$635,8.63%
PerfectForeXBot,"$3,120",41,$550,2.19%
TopTradingGrid,"$4,054",10,$545,2.1%
rydwaves,"$75,943",475,$526,2.31%
ForexWealthUK,"$19,152",36,$522,0%
lizhendiuyi,"$25,423",97,$483,5.06%
Hansheng,"$11,139",81,$469,1.48%
EAdeveloper,"$2,577",12,$423,9.45%
Pipsforyou2,"$6,647",50,$395,89.69%
MW Management,"$1,885",13,$350,0.36%
ingresoenredFX,"$1,676",12,$350,45.54%
Starlineforex,"$5,566",20,$347,0.05%
TOPTRADING920,$210,2,$333,1.79%
SURFrade,"$5,671",13,$325,11.66%
RFactor EURCAD,"$14,765",114,$307,9.25%
ScrappyKoko,"$4,368",4,$279,0.13%
DayProfitTrader,"$7,867",31,$263,1.09%
NorthEastWay,"$8,107",25,$262,8.99%
EDUFINANZAS,$363,8,$257,12.43%
NewMoonFX,"$4,914",6,$257,9.49%
NYCINVESTMENT,$955,46,$250,2.95%
FastWaySignal,"$13,816",142,$230,9.05%
eurusd trader321,"$2,710",34,$229,6.7%
stairs X,"$12,824",63,$225,2.29%
Artedon autotrading,"$4,669",59,$222,72.01%
FourWaysForex,"$22,884",142,$219,4.8%
MinimalFX,"$1,375",83,$207,5.29%
The best trading 1,$0,0,$207,23.61%
mhk666mhk,"$3,665",35,$194,0.04%
threescore,"$1,950",8,$185,20.82%
ELEGANTT,"$4,163",17,$180,-90.01%
Akos daily trading,"$1,754",4,$176,0.38%
ArjunFX108,"$17,872",9,$158,-4.95%
Pax tecum,"$10,326",11,$158,1.38%
Punch FX,$728,17,$158,32.78%
ElliottWaveFX,"$25,589",27,$158,0.88%
Carmine Quaranta uno,"$12,443",9,$151,23.6%
Constantine1,$716,4,$146,31.75%
Stefano FX,"$93,347",74,$144,1.49%
Segnali Vip,"$15,610",14,$143,4.65%
Growth Spiral,$0,1,$127,1.13%
Gold ZigZag2020,$468,5,$124,9.18%
Stallion Fx,"$18,000",2,$120,0.17%
My Altron,"$1,295",17,$113,0%
jiaqin2gbpusd50,"$1,200",23,$113,0.68%
Evolution FX,$0,2,$109,19.34%
yumman0003,"$15,970",38,$107,1.3%
wearemm20194,"$5,304",4,$100,0.18%
Pips Cat,$780,25,$100,-6.86%
TraderVip,"$6,943",18,$99,2.46%
BlueTrade2008,"$1,905",5,$95,1.66%
thebestico888,"$3,305",7,$90,5.89%
fxanya14,"$1,019",2,$88,5.85%
ColombiTATRADING,"$4,215",44,$86,0.57%
StackForex,"$1,777",4,$86,22.09%
Busy Bee DT,$346,1,$85,38.31%
2021fxtra,"$1,138",2,$76,N/A
linelikeeasy,$933,15,$74,1.64%
LordKenFX,$973,14,$74,5.72%
Sharper Trade,"$18,434",247,$72,0.01%
special one bdat,$279,7,$71,0.34%
Prospero IV,"$7,075",57,$71,4.31%
